"","DistCode","DistName","SchCode","Year","SchName","SchType","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"103","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","Grade","5","Math",3,47,47,2,99,0.0303030303030303,0.474747474747475,0.474747474747475,0.0202020202020202
"104","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","homeless","No","Math",3,47,47,2,99,0.0303030303030303,0.474747474747475,0.474747474747475,0.0202020202020202
"105","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","iepdata","NOT SWD","Math",3,44,46,2,95,0.0315789473684211,0.463157894736842,0.484210526315789,0.0210526315789474
"106","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","iepdata","SWD","Math",0,0,0,0,0,0,0,0,0
"107","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","lep","ELL","Math",0,0,0,0,0,0,0,0,0
"108","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","lep","Not ELL","Math",2,41,47,2,92,0.0217391304347826,0.445652173913043,0.510869565217391,0.0217391304347826
"109","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","lunchdata","No","Math",0,9,13,2,24,0,0.375,0.541666666666667,0.0833333333333333
"110","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","lunchdata","Yes","Math",3,38,34,0,75,0.04,0.506666666666667,0.453333333333333,0
"111","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","migrant","No","Math",3,47,47,2,99,0.0303030303030303,0.474747474747475,0.474747474747475,0.0202020202020202
"112","41","Achievement First Rhode Island","28615","2018","AF Providence Mayoral Academy Middle","5-8","military","No","Math",3,47,47,2,99,0.0303030303030303,0.474747474747475,0.474747474747475,0.0202020202020202
