"","DistCode","DistName","SchCode","Year","Takeover","SchName","SchType","Neighborhood","GroupType","GroupName","TestSubject","Level_1_Count","Level_2_Count","Level_3_Count","Level_4_Count","Total_Count","Level_1_Percentage","Level_2_Percentage","Level_3_Percentage","Level_4_Percentage"
"2657","28","Providence","28194",2019,"Pre Takeover","West Broadway Middle School","Middle School","Federal Hill","sex","Female","ELA",59,116,31,1,207,28.5024154589372,56.0386473429952,14.975845410628,0.483091787439614
"2658","28","Providence","28194",2019,"Pre Takeover","West Broadway Middle School","Middle School","Federal Hill","sex","Male","ELA",130,104,12,0,246,52.8455284552846,42.2764227642276,4.87804878048781,0
"2659","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","All Students","All","ELA",40,13,3,2,58,68.9655172413793,22.4137931034483,5.17241379310345,3.44827586206897
"2660","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","foster","No","ELA",39,13,3,2,57,68.4210526315789,22.8070175438596,5.26315789473684,3.50877192982456
"2661","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","foster","Yes","ELA",0,0,0,0,0,0,0,0,0
"2662","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","Grade","11","ELA",40,13,3,2,58,68.9655172413793,22.4137931034483,5.17241379310345,3.44827586206897
"2663","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","homeless","No","ELA",40,13,3,2,58,68.9655172413793,22.4137931034483,5.17241379310345,3.44827586206897
"2664","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","iepdata","NOT SWD","ELA",35,13,3,2,53,66.0377358490566,24.5283018867925,5.66037735849057,3.77358490566038
"2665","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","iepdata","SWD","ELA",0,0,0,0,0,0,0,0,0
"2666","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","lep","ELL","ELA",19,1,0,0,20,95,5,0,0
"2667","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","lep","Not ELL","ELA",21,12,3,2,38,55.2631578947368,31.5789473684211,7.89473684210526,5.26315789473684
"2668","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","lunchdata","No","ELA",8,4,1,1,14,57.1428571428571,28.5714285714286,7.14285714285714,7.14285714285714
"2669","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","lunchdata","Yes","ELA",32,9,2,1,44,72.7272727272727,20.4545454545455,4.54545454545455,2.27272727272727
"2670","28","Providence","28195",2019,"Pre Takeover","360 High School","High School","Lower South Providence","migrant","No","ELA",40,13,3,2,58,68.9655172413793,22.4137931034483,5.17241379310345,3.44827586206897
